index, start time, end time, latency
0, 1659514044.67851, 1659514044.71369, 3518
1, 1659514044.173702, 1659514044.176850, 3148
2, 1659514044.277235, 1659514044.280416, 3181
3, 1659514044.380657, 1659514044.383941, 3284
4, 1659514044.486298, 1659514044.489586, 3288
5, 1659514044.589827, 1659514044.593046, 3219
6, 1659514044.695467, 1659514044.698797, 3330
7, 1659514044.799770, 1659514044.802933, 3163
8, 1659514044.903974, 1659514044.907641, 3667
9, 1659514045.9976, 1659514045.13165, 3189
10, 1659514045.115533, 1659514045.118803, 3270
11, 1659514045.219487, 1659514045.222641, 3154
12, 1659514045.324102, 1659514045.327759, 3657
13, 1659514045.429362, 1659514045.432274, 2912
14, 1659514045.532812, 1659514045.535646, 2834
15, 1659514045.636858, 1659514045.639653, 2795
16, 1659514045.739876, 1659514045.742646, 2770
17, 1659514045.843622, 1659514045.846798, 3176
18, 1659514045.948839, 1659514045.952026, 3187
19, 1659514046.52902, 1659514046.56258, 3356
20, 1659514046.158504, 1659514046.161887, 3383
21, 1659514046.264258, 1659514046.267763, 3505
22, 1659514046.368018, 1659514046.371181, 3163
23, 1659514046.473512, 1659514046.476525, 3013
24, 1659514046.577936, 1659514046.580900, 2964
25, 1659514046.682049, 1659514046.685094, 3045
26, 1659514046.785562, 1659514046.788127, 2565
27, 1659514046.888821, 1659514046.891357, 2536
28, 1659514046.993719, 1659514046.996892, 3173
29, 1659514047.98602, 1659514047.101452, 2850
30, 1659514047.201783, 1659514047.204553, 2770
31, 1659514047.305381, 1659514047.308544, 3163
32, 1659514047.409351, 1659514047.412302, 2951
33, 1659514047.514663, 1659514047.517527, 2864
34, 1659514047.617873, 1659514047.620464, 2591
35, 1659514047.722792, 1659514047.726021, 3229
36, 1659514047.826616, 1659514047.829653, 3037
37, 1659514047.930339, 1659514047.933173, 2834
38, 1659514048.33378, 1659514048.36323, 2945
39, 1659514048.138618, 1659514048.142009, 3391
40, 1659514048.242750, 1659514048.245567, 2817
41, 1659514048.347154, 1659514048.350273, 3119
42, 1659514048.452033, 1659514048.455044, 3011
43, 1659514048.555650, 1659514048.558667, 3017
44, 1659514048.660205, 1659514048.663257, 3052
45, 1659514048.765634, 1659514048.768542, 2908
46, 1659514048.868857, 1659514048.872161, 3304
47, 1659514048.974535, 1659514048.977750, 3215
48, 1659514049.78792, 1659514049.81646, 2854
49, 1659514049.184019, 1659514049.187287, 3268
50, 1659514049.287754, 1659514049.290965, 3211
51, 1659514049.391700, 1659514049.394817, 3117
52, 1659514049.497134, 1659514049.500450, 3316
53, 1659514049.601973, 1659514049.604975, 3002
54, 1659514049.706285, 1659514049.709323, 3038
55, 1659514049.809525, 1659514049.812525, 3000
56, 1659514049.913791, 1659514049.916872, 3081
57, 1659514050.19254, 1659514050.22475, 3221
58, 1659514050.124383, 1659514050.127344, 2961
59, 1659514050.229692, 1659514050.233108, 3416
60, 1659514050.334167, 1659514050.337088, 2921
61, 1659514050.438927, 1659514050.442156, 3229
62, 1659514050.544506, 1659514050.547420, 2914
63, 1659514050.648605, 1659514050.651787, 3182
64, 1659514050.754143, 1659514050.757380, 3237
65, 1659514050.858636, 1659514050.861790, 3154
66, 1659514050.964148, 1659514050.967292, 3144
67, 1659514051.67866, 1659514051.71284, 3418
68, 1659514051.173652, 1659514051.176779, 3127
69, 1659514051.278796, 1659514051.282236, 3440
70, 1659514051.382286, 1659514051.385255, 2969
71, 1659514051.487593, 1659514051.490674, 3081
72, 1659514051.591704, 1659514051.594573, 2869
73, 1659514051.696134, 1659514051.699558, 3424
74, 1659514051.801151, 1659514051.804202, 3051
75, 1659514051.905309, 1659514051.908568, 3259
76, 1659514052.10942, 1659514052.13975, 3033
77, 1659514052.115483, 1659514052.118699, 3216
78, 1659514052.221027, 1659514052.224072, 3045
79, 1659514052.324636, 1659514052.328318, 3682
80, 1659514052.429568, 1659514052.432711, 3143
81, 1659514052.535003, 1659514052.538009, 3006
82, 1659514052.638921, 1659514052.641879, 2958
83, 1659514052.744213, 1659514052.747521, 3308
84, 1659514052.848383, 1659514052.851681, 3298
85, 1659514052.952661, 1659514052.955543, 2882
86, 1659514053.57859, 1659514053.61193, 3334
87, 1659514053.163521, 1659514053.166663, 3142
88, 1659514053.268316, 1659514053.271768, 3452
89, 1659514053.372118, 1659514053.375053, 2935
90, 1659514053.477371, 1659514053.480147, 2776
91, 1659514053.580681, 1659514053.583351, 2670
92, 1659514053.685688, 1659514053.688790, 3102
93, 1659514053.789876, 1659514053.792500, 2624
94, 1659514053.893336, 1659514053.896667, 3331
95, 1659514053.999007, 1659514054.1909, 2902
96, 1659514054.102941, 1659514054.106283, 3342
97, 1659514054.208618, 1659514054.211726, 3108
98, 1659514054.314078, 1659514054.316948, 2870
99, 1659514054.418306, 1659514054.421159, 2853
100, 1659514054.523526, 1659514054.525952, 2426
101, 1659514054.626549, 1659514054.629758, 3209
102, 1659514054.732133, 1659514054.734875, 2742
103, 1659514054.835480, 1659514054.838363, 2883
104, 1659514054.940229, 1659514054.943186, 2957
105, 1659514055.45510, 1659514055.49193, 3683
106, 1659514055.151125, 1659514055.153749, 2624
107, 1659514055.255222, 1659514055.258057, 2835
108, 1659514055.359143, 1659514055.361809, 2666
109, 1659514055.463637, 1659514055.466297, 2660
110, 1659514055.568565, 1659514055.571116, 2551
111, 1659514055.672615, 1659514055.675061, 2446
112, 1659514055.776108, 1659514055.778664, 2556
113, 1659514055.879125, 1659514055.881551, 2426
114, 1659514055.983867, 1659514055.986926, 3059
115, 1659514056.87453, 1659514056.90402, 2949
116, 1659514056.192774, 1659514056.195865, 3091
117, 1659514056.298212, 1659514056.301246, 3034
118, 1659514056.401901, 1659514056.404325, 2424
119, 1659514056.506642, 1659514056.509539, 2897
120, 1659514056.611105, 1659514056.614460, 3355
121, 1659514056.716044, 1659514056.719069, 3025
122, 1659514056.819357, 1659514056.822534, 3177
123, 1659514056.924071, 1659514056.927016, 2945
