index, start time, end time, latency
0, 1659546279.39271, 1659546279.42115, 2844
1, 1659546279.143031, 1659546279.145996, 2965
2, 1659546279.246301, 1659546279.249340, 3039
3, 1659546279.350922, 1659546279.354239, 3317
4, 1659546279.456068, 1659546279.459214, 3146
5, 1659546279.559799, 1659546279.563393, 3594
6, 1659546279.664673, 1659546279.667875, 3202
7, 1659546279.768759, 1659546279.771953, 3194
8, 1659546279.872313, 1659546279.875332, 3019
9, 1659546279.977665, 1659546279.981215, 3550
10, 1659546280.83548, 1659546280.86968, 3420
11, 1659546280.188814, 1659546280.192324, 3510
12, 1659546280.292683, 1659546280.296005, 3322
13, 1659546280.396489, 1659546280.399429, 2940
14, 1659546280.501768, 1659546280.505012, 3244
15, 1659546280.607375, 1659546280.611007, 3632
16, 1659546280.713258, 1659546280.716641, 3383
17, 1659546280.819042, 1659546280.822461, 3419
18, 1659546280.923902, 1659546280.926685, 2783
19, 1659546281.29019, 1659546281.32190, 3171
20, 1659546281.132660, 1659546281.135944, 3284
21, 1659546281.238276, 1659546281.241974, 3698
22, 1659546281.344343, 1659546281.347836, 3493
23, 1659546281.449567, 1659546281.453139, 3572
24, 1659546281.555473, 1659546281.558937, 3464
25, 1659546281.659940, 1659546281.663239, 3299
26, 1659546281.763988, 1659546281.767208, 3220
27, 1659546281.867452, 1659546281.870874, 3422
28, 1659546281.973211, 1659546281.976847, 3636
29, 1659546282.79221, 1659546282.82925, 3704
30, 1659546282.184454, 1659546282.188423, 3969
31, 1659546282.288526, 1659546282.292467, 3941
32, 1659546282.392979, 1659546282.396645, 3666
33, 1659546282.499046, 1659546282.502923, 3877
34, 1659546282.605117, 1659546282.608830, 3713
35, 1659546282.710855, 1659546282.714141, 3286
36, 1659546282.816472, 1659546282.819556, 3084
37, 1659546282.920547, 1659546282.923227, 2680
38, 1659546283.25515, 1659546283.29191, 3676
39, 1659546283.129494, 1659546283.132256, 2762
40, 1659546283.233000, 1659546283.236815, 3815
41, 1659546283.339172, 1659546283.342179, 3007
42, 1659546283.443652, 1659546283.447092, 3440
43, 1659546283.549536, 1659546283.552671, 3135
44, 1659546283.653438, 1659546283.656991, 3553
45, 1659546283.757636, 1659546283.760908, 3272
46, 1659546283.863273, 1659546283.866569, 3296
47, 1659546283.968796, 1659546283.972134, 3338
48, 1659546284.74437, 1659546284.77060, 2623
49, 1659546284.178348, 1659546284.181296, 2948
50, 1659546284.283040, 1659546284.286257, 3217
51, 1659546284.386566, 1659546284.389432, 2866
52, 1659546284.491746, 1659546284.494623, 2877
53, 1659546284.597042, 1659546284.599979, 2937
54, 1659546284.701763, 1659546284.704566, 2803
55, 1659546284.806942, 1659546284.809794, 2852
56, 1659546284.910527, 1659546284.913495, 2968
57, 1659546285.15783, 1659546285.18827, 3044
58, 1659546285.121151, 1659546285.124690, 3539
59, 1659546285.226031, 1659546285.229361, 3330
60, 1659546285.331714, 1659546285.335454, 3740
61, 1659546285.435776, 1659546285.438903, 3127
62, 1659546285.541295, 1659546285.544314, 3019
63, 1659546285.644751, 1659546285.647727, 2976
64, 1659546285.748137, 1659546285.751454, 3317
65, 1659546285.853782, 1659546285.857245, 3463
66, 1659546285.959056, 1659546285.962546, 3490
67, 1659546286.64891, 1659546286.68534, 3643
68, 1659546286.169429, 1659546286.172778, 3349
69, 1659546286.274673, 1659546286.277677, 3004
70, 1659546286.378176, 1659546286.381533, 3357
71, 1659546286.483760, 1659546286.487112, 3352
72, 1659546286.589538, 1659546286.593313, 3775
73, 1659546286.694740, 1659546286.698112, 3372
74, 1659546286.800444, 1659546286.803369, 2925
75, 1659546286.903862, 1659546286.907082, 3220
76, 1659546287.9382, 1659546287.12892, 3510
77, 1659546287.115201, 1659546287.118458, 3257
78, 1659546287.219818, 1659546287.223421, 3603
79, 1659546287.325775, 1659546287.328958, 3183
80, 1659546287.430005, 1659546287.433388, 3383
81, 1659546287.534899, 1659546287.538000, 3101
82, 1659546287.638732, 1659546287.641559, 2827
83, 1659546287.741894, 1659546287.744931, 3037
84, 1659546287.846412, 1659546287.849221, 2809
85, 1659546287.950679, 1659546287.953516, 2837
86, 1659546288.55076, 1659546288.57912, 2836
87, 1659546288.158415, 1659546288.161967, 3552
88, 1659546288.263489, 1659546288.267225, 3736
89, 1659546288.367499, 1659546288.370253, 2754
90, 1659546288.471761, 1659546288.475279, 3518
91, 1659546288.576744, 1659546288.579985, 3241
92, 1659546288.680990, 1659546288.684500, 3510
93, 1659546288.786032, 1659546288.789122, 3090
94, 1659546288.889857, 1659546288.892665, 2808
95, 1659546288.994183, 1659546288.998021, 3838
96, 1659546289.99493, 1659546289.102978, 3485
97, 1659546289.203186, 1659546289.206577, 3391
98, 1659546289.306896, 1659546289.310230, 3334
99, 1659546289.410787, 1659546289.414661, 3874
100, 1659546289.516265, 1659546289.519860, 3595
101, 1659546289.621354, 1659546289.624548, 3194
102, 1659546289.726111, 1659546289.729717, 3606
103, 1659546289.831160, 1659546289.834228, 3068
104, 1659546289.935231, 1659546289.938210, 2979
105, 1659546290.39650, 1659546290.42764, 3114
106, 1659546290.144185, 1659546290.147146, 2961
107, 1659546290.248133, 1659546290.251553, 3420
108, 1659546290.352784, 1659546290.355812, 3028
109, 1659546290.457256, 1659546290.460081, 2825
110, 1659546290.561557, 1659546290.564319, 2762
111, 1659546290.664826, 1659546290.667821, 2995
112, 1659546290.769305, 1659546290.772654, 3349
113, 1659546290.873055, 1659546290.876177, 3122
114, 1659546290.977711, 1659546290.981213, 3502
115, 1659546291.82763, 1659546291.85727, 2964
116, 1659546291.186746, 1659546291.190342, 3596
117, 1659546291.291862, 1659546291.295330, 3468
118, 1659546291.395790, 1659546291.398820, 3030
119, 1659546291.500309, 1659546291.503536, 3227
120, 1659546291.605086, 1659546291.608042, 2956
121, 1659546291.709526, 1659546291.712756, 3230
122, 1659546291.814284, 1659546291.817401, 3117
123, 1659546291.917964, 1659546291.921056, 3092
124, 1659546292.22527, 1659546292.25516, 2989
125, 1659546292.127033, 1659546292.130626, 3593
126, 1659546292.232130, 1659546292.235425, 3295
127, 1659546292.336227, 1659546292.339435, 3208
128, 1659546292.440347, 1659546292.443213, 2866
129, 1659546292.544764, 1659546292.547650, 2886
130, 1659546292.649118, 1659546292.652116, 2998
131, 1659546292.753575, 1659546292.756872, 3297
132, 1659546292.858417, 1659546292.861276, 2859
133, 1659546292.962650, 1659546292.965687, 3037
134, 1659546293.67141, 1659546293.70142, 3001
135, 1659546293.170667, 1659546293.174019, 3352
136, 1659546293.275514, 1659546293.278673, 3159
137, 1659546293.379129, 1659546293.382008, 2879
138, 1659546293.483440, 1659546293.486548, 3108
139, 1659546293.588039, 1659546293.591293, 3254
140, 1659546293.692260, 1659546293.695823, 3563
141, 1659546293.797289, 1659546293.800764, 3475
142, 1659546293.901779, 1659546293.904877, 3098
143, 1659546294.6431, 1659546294.9480, 3049
144, 1659546294.111040, 1659546294.114540, 3500
145, 1659546294.214811, 1659546294.218950, 4139
146, 1659546294.319138, 1659546294.322365, 3227
147, 1659546294.422847, 1659546294.426213, 3366
148, 1659546294.527710, 1659546294.531254, 3544
149, 1659546294.632715, 1659546294.635848, 3133
150, 1659546294.737387, 1659546294.740569, 3182
151, 1659546294.842096, 1659546294.845449, 3353
152, 1659546294.946408, 1659546294.949820, 3412
153, 1659546295.51281, 1659546295.54482, 3201
154, 1659546295.155981, 1659546295.159409, 3428
155, 1659546295.260924, 1659546295.264168, 3244
156, 1659546295.364319, 1659546295.367878, 3559
157, 1659546295.469292, 1659546295.472639, 3347
158, 1659546295.574158, 1659546295.577430, 3272
159, 1659546295.677946, 1659546295.681501, 3555
160, 1659546295.782739, 1659546295.786004, 3265
161, 1659546295.886659, 1659546295.889684, 3025
162, 1659546295.991103, 1659546295.994405, 3302
163, 1659546296.95842, 1659546296.99099, 3257
164, 1659546296.200077, 1659546296.203579, 3502
165, 1659546296.305010, 1659546296.308352, 3342
166, 1659546296.409059, 1659546296.412119, 3060
167, 1659546296.513651, 1659546296.517286, 3635
168, 1659546296.618829, 1659546296.621789, 2960
169, 1659546296.723175, 1659546296.726664, 3489
170, 1659546296.828107, 1659546296.831251, 3144
171, 1659546296.931735, 1659546296.934690, 2955
172, 1659546297.36133, 1659546297.39011, 2878
173, 1659546297.140470, 1659546297.142888, 2418
174, 1659546297.243995, 1659546297.247197, 3202
175, 1659546297.348665, 1659546297.351810, 3145
176, 1659546297.452674, 1659546297.455692, 3018
177, 1659546297.557216, 1659546297.560430, 3214
178, 1659546297.661944, 1659546297.665048, 3104
179, 1659546297.765923, 1659546297.768949, 3026
180, 1659546297.869262, 1659546297.872239, 2977
181, 1659546297.973571, 1659546297.976816, 3245
182, 1659546298.78359, 1659546298.81955, 3596
183, 1659546298.182409, 1659546298.185715, 3306
184, 1659546298.287194, 1659546298.290413, 3219
185, 1659546298.390718, 1659546298.393644, 2926
186, 1659546298.494022, 1659546298.497251, 3229
187, 1659546298.598732, 1659546298.601661, 2929
188, 1659546298.702389, 1659546298.705590, 3201
189, 1659546298.807094, 1659546298.810277, 3183
190, 1659546298.911495, 1659546298.914617, 3122
191, 1659546299.16063, 1659546299.19310, 3247
192, 1659546299.120800, 1659546299.123939, 3139
193, 1659546299.224597, 1659546299.227672, 3075
194, 1659546299.328192, 1659546299.331439, 3247
195, 1659546299.431761, 1659546299.434814, 3053
196, 1659546299.535551, 1659546299.538789, 3238
197, 1659546299.639588, 1659546299.642699, 3111
198, 1659546299.743058, 1659546299.746263, 3205
199, 1659546299.847750, 1659546299.850712, 2962
200, 1659546299.951384, 1659546299.954618, 3234
201, 1659546300.56079, 1659546300.58881, 2802
202, 1659546300.160369, 1659546300.163769, 3400
203, 1659546300.265218, 1659546300.268130, 2912
204, 1659546300.368394, 1659546300.371207, 2813
205, 1659546300.472312, 1659546300.475566, 3254
206, 1659546300.577041, 1659546300.579991, 2950
207, 1659546300.680725, 1659546300.683861, 3136
208, 1659546300.785382, 1659546300.788781, 3399
209, 1659546300.889529, 1659546300.893536, 4007
210, 1659546300.995002, 1659546301.1556, 6554
211, 1659546301.103090, 1659546301.106378, 3288
212, 1659546301.206824, 1659546301.209799, 2975
