index, start time, end time, latency
0, 1659515087.832077, 1659515087.835241, 3164
1, 1659515087.937128, 1659515087.941392, 4264
2, 1659515088.41748, 1659515088.45179, 3431
3, 1659515088.147382, 1659515088.151017, 3635
4, 1659515088.251303, 1659515088.254752, 3449
5, 1659515088.356885, 1659515088.360460, 3575
6, 1659515088.462244, 1659515088.466219, 3975
7, 1659515088.567456, 1659515088.570923, 3467
8, 1659515088.672823, 1659515088.676766, 3943
9, 1659515088.777152, 1659515088.780804, 3652
10, 1659515088.881348, 1659515088.885299, 3951
11, 1659515088.987595, 1659515088.991325, 3730
12, 1659515089.93094, 1659515089.96335, 3241
13, 1659515089.198560, 1659515089.202013, 3453
14, 1659515089.303278, 1659515089.306324, 3046
15, 1659515089.407483, 1659515089.410874, 3391
16, 1659515089.513151, 1659515089.516791, 3640
17, 1659515089.619063, 1659515089.622958, 3895
18, 1659515089.725251, 1659515089.728430, 3179
19, 1659515089.829858, 1659515089.833083, 3225
20, 1659515089.934891, 1659515089.938231, 3340
21, 1659515090.38775, 1659515090.42102, 3327
22, 1659515090.144424, 1659515090.147685, 3261
23, 1659515090.247861, 1659515090.251399, 3538
24, 1659515090.353269, 1659515090.357134, 3865
25, 1659515090.457971, 1659515090.461190, 3219
26, 1659515090.562182, 1659515090.565375, 3193
27, 1659515090.667706, 1659515090.671217, 3511
28, 1659515090.771587, 1659515090.775075, 3488
29, 1659515090.875614, 1659515090.879436, 3822
30, 1659515090.981760, 1659515090.985161, 3401
31, 1659515091.86612, 1659515091.89746, 3134
32, 1659515091.192003, 1659515091.195453, 3450
33, 1659515091.296044, 1659515091.299162, 3118
34, 1659515091.400218, 1659515091.403220, 3002
35, 1659515091.505452, 1659515091.509102, 3650
36, 1659515091.610985, 1659515091.614532, 3547
37, 1659515091.716270, 1659515091.719909, 3639
38, 1659515091.820992, 1659515091.824417, 3425
39, 1659515091.926002, 1659515091.929629, 3627
40, 1659515092.30987, 1659515092.34284, 3297
41, 1659515092.136622, 1659515092.140003, 3381
42, 1659515092.240543, 1659515092.243956, 3413
43, 1659515092.345467, 1659515092.349331, 3864
44, 1659515092.450853, 1659515092.454383, 3530
45, 1659515092.555052, 1659515092.558483, 3431
46, 1659515092.660736, 1659515092.664028, 3292
47, 1659515092.764089, 1659515092.767860, 3771
48, 1659515092.868249, 1659515092.871859, 3610
49, 1659515092.974206, 1659515092.977317, 3111
50, 1659515093.78342, 1659515093.81773, 3431
51, 1659515093.184049, 1659515093.187276, 3227
52, 1659515093.288294, 1659515093.291611, 3317
53, 1659515093.392460, 1659515093.395574, 3114
54, 1659515093.497846, 1659515093.501493, 3647
55, 1659515093.602964, 1659515093.606337, 3373
56, 1659515093.708659, 1659515093.711820, 3161
57, 1659515093.812452, 1659515093.815898, 3446
58, 1659515093.917320, 1659515093.921428, 4108
59, 1659515094.23715, 1659515094.27320, 3605
60, 1659515094.129415, 1659515094.132599, 3184
61, 1659515094.233114, 1659515094.236503, 3389
62, 1659515094.337269, 1659515094.341013, 3744
63, 1659515094.442972, 1659515094.446679, 3707
64, 1659515094.546944, 1659515094.550322, 3378
65, 1659515094.652663, 1659515094.656016, 3353
66, 1659515094.758333, 1659515094.761978, 3645
67, 1659515094.862191, 1659515094.866094, 3903
68, 1659515094.968431, 1659515094.972055, 3624
69, 1659515095.72814, 1659515095.76890, 4076
70, 1659515095.179176, 1659515095.182534, 3358
71, 1659515095.284788, 1659515095.287934, 3146
72, 1659515095.388698, 1659515095.392070, 3372
73, 1659515095.494376, 1659515095.498219, 3843
74, 1659515095.599444, 1659515095.603180, 3736
75, 1659515095.705206, 1659515095.709274, 4068
76, 1659515095.809675, 1659515095.813160, 3485
77, 1659515095.914537, 1659515095.917725, 3188
78, 1659515096.20015, 1659515096.23404, 3389
79, 1659515096.125203, 1659515096.129294, 4091
80, 1659515096.229721, 1659515096.233118, 3397
81, 1659515096.334014, 1659515096.337594, 3580
82, 1659515096.438772, 1659515096.442152, 3380
83, 1659515096.544410, 1659515096.547849, 3439
84, 1659515096.649663, 1659515096.653079, 3416
85, 1659515096.755393, 1659515096.758627, 3234
86, 1659515096.858757, 1659515096.862517, 3760
87, 1659515096.964826, 1659515096.968306, 3480
88, 1659515097.68757, 1659515097.71592, 2835
89, 1659515097.173927, 1659515097.177278, 3351
90, 1659515097.279551, 1659515097.282465, 2914
91, 1659515097.383077, 1659515097.386268, 3191
92, 1659515097.488547, 1659515097.491901, 3354
93, 1659515097.592822, 1659515097.596584, 3762
94, 1659515097.698915, 1659515097.702424, 3509
95, 1659515097.803264, 1659515097.806517, 3253
96, 1659515097.907689, 1659515097.911533, 3844
97, 1659515098.13884, 1659515098.17313, 3429
98, 1659515098.118721, 1659515098.122238, 3517
99, 1659515098.222485, 1659515098.225719, 3234
100, 1659515098.326215, 1659515098.329139, 2924
101, 1659515098.430860, 1659515098.434320, 3460
102, 1659515098.536606, 1659515098.539760, 3154
103, 1659515098.640288, 1659515098.643290, 3002
104, 1659515098.745613, 1659515098.748859, 3246
105, 1659515098.849784, 1659515098.852995, 3211
106, 1659515098.955228, 1659515098.958877, 3649
107, 1659515099.61194, 1659515099.64644, 3450
108, 1659515099.166965, 1659515099.170663, 3698
109, 1659515099.273000, 1659515099.276550, 3550
110, 1659515099.377076, 1659515099.381108, 4032
111, 1659515099.483393, 1659515099.487120, 3727
112, 1659515099.587730, 1659515099.591486, 3756
113, 1659515099.693362, 1659515099.697091, 3729
114, 1659515099.797805, 1659515099.801444, 3639
115, 1659515099.902538, 1659515099.906543, 4005
116, 1659515100.8861, 1659515100.12831, 3970
117, 1659515100.113955, 1659515100.117295, 3340
118, 1659515100.217655, 1659515100.220983, 3328
119, 1659515100.321098, 1659515100.324744, 3646
120, 1659515100.425756, 1659515100.429365, 3609
121, 1659515100.531717, 1659515100.535409, 3692
