# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       16.000       91.664
       1.007       39.500       22.879      320.613
       2.020      119.500       22.879      320.613
       3.033       13.800       24.270      385.617
       4.047       15.900       24.270      385.617
       5.054       78.900       24.270      385.617
       6.082       95.400       24.270      385.617
       7.109      111.200       24.270      385.617
       8.135      111.100       31.234      641.617
       9.142       74.300       31.234      641.617
      10.166       91.200       31.234      641.617
      11.176       83.200       31.234      641.617
      12.184       89.300       31.234      641.617
      13.192       89.200       31.234      641.617
      14.201       91.800       31.234      641.617
      15.214       97.200       31.234      641.617
      16.223       97.600       31.234      641.617
      17.237       84.300       31.234      641.617
      18.245       87.300       36.906      641.617
      19.253      116.400       36.906      641.617
      20.266       98.500       36.906      641.617
      21.281      128.000       36.906      641.617
      22.297      119.400       43.352      641.617
      23.327      103.100       51.859      641.617
      24.337       97.400       51.859      641.617
      25.362       76.300       51.859      641.617
      26.373       71.100       51.859      641.617
      27.386       67.100       51.859      641.617
      28.399       74.000       51.859      641.617
      29.413       74.900       51.859      641.617
      30.427      101.500       51.859      641.617
      31.442       59.200       51.859      641.617
      32.454      119.100       51.859      641.617
      33.462      103.500       51.859      641.617
      34.477      128.000       51.859      641.617
      35.494       95.600       51.859      641.617
      36.507       84.300       51.859      641.617
      37.515      112.600       51.859      641.617
      38.528      107.400       51.859      641.617
