index, start time, end time, latency
0, 1659538971.139815, 1659538971.143887, 4072
1, 1659538971.244817, 1659538971.248111, 3294
2, 1659538971.348501, 1659538971.352201, 3700
3, 1659538971.452528, 1659538971.456133, 3605
4, 1659538971.558467, 1659538971.561860, 3393
5, 1659538971.663056, 1659538971.667025, 3969
6, 1659538971.768704, 1659538971.772604, 3900
7, 1659538971.873034, 1659538971.876178, 3144
8, 1659538971.976627, 1659538971.979556, 2929
9, 1659538972.81063, 1659538972.85064, 4001
10, 1659538972.185917, 1659538972.189316, 3399
11, 1659538972.289553, 1659538972.293465, 3912
12, 1659538972.393806, 1659538972.397448, 3642
13, 1659538972.498520, 1659538972.501738, 3218
14, 1659538972.603159, 1659538972.606025, 2866
15, 1659538972.706252, 1659538972.709649, 3397
16, 1659538972.811061, 1659538972.814495, 3434
17, 1659538972.915872, 1659538972.919786, 3914
18, 1659538973.21187, 1659538973.24460, 3273
19, 1659538973.125936, 1659538973.129310, 3374
20, 1659538973.229835, 1659538973.233402, 3567
21, 1659538973.334830, 1659538973.337706, 2876
22, 1659538973.439204, 1659538973.442288, 3084
23, 1659538973.543716, 1659538973.546533, 2817
24, 1659538973.647985, 1659538973.651035, 3050
25, 1659538973.752219, 1659538973.755537, 3318
26, 1659538973.857004, 1659538973.859884, 2880
27, 1659538973.960119, 1659538973.963127, 3008
28, 1659538974.64652, 1659538974.67753, 3101
29, 1659538974.169198, 1659538974.172553, 3355
30, 1659538974.273318, 1659538974.276057, 2739
31, 1659538974.376585, 1659538974.379283, 2698
32, 1659538974.479968, 1659538974.483801, 3833
33, 1659538974.585305, 1659538974.588264, 2959
34, 1659538974.689806, 1659538974.692970, 3164
35, 1659538974.794459, 1659538974.797768, 3309
36, 1659538974.898798, 1659538974.902064, 3266
37, 1659538975.3051, 1659538975.5859, 2808
38, 1659538975.107353, 1659538975.110273, 2920
39, 1659538975.210429, 1659538975.213297, 2868
40, 1659538975.313581, 1659538975.316535, 2954
41, 1659538975.417983, 1659538975.420702, 2719
42, 1659538975.522138, 1659538975.525653, 3515
43, 1659538975.626047, 1659538975.629617, 3570
44, 1659538975.730208, 1659538975.733611, 3403
45, 1659538975.835076, 1659538975.838130, 3054
46, 1659538975.939535, 1659538975.942271, 2736
47, 1659538976.43715, 1659538976.46631, 2916
48, 1659538976.148074, 1659538976.150704, 2630
49, 1659538976.250878, 1659538976.253724, 2846
50, 1659538976.355149, 1659538976.357998, 2849
51, 1659538976.459512, 1659538976.462039, 2527
52, 1659538976.563477, 1659538976.567444, 3967
53, 1659538976.668929, 1659538976.671447, 2518
54, 1659538976.772887, 1659538976.775501, 2614
55, 1659538976.876039, 1659538976.878727, 2688
56, 1659538976.979170, 1659538976.981635, 2465
57, 1659538977.83099, 1659538977.85835, 2736
58, 1659538977.187274, 1659538977.190229, 2955
59, 1659538977.291737, 1659538977.294691, 2954
60, 1659538977.395662, 1659538977.398523, 2861
61, 1659538977.499227, 1659538977.502129, 2902
62, 1659538977.603591, 1659538977.606518, 2927
63, 1659538977.707967, 1659538977.710981, 3014
64, 1659538977.812511, 1659538977.815335, 2824
65, 1659538977.916723, 1659538977.919726, 3003
66, 1659538978.21003, 1659538978.24033, 3030
67, 1659538978.125507, 1659538978.128702, 3195
68, 1659538978.229122, 1659538978.232432, 3310
69, 1659538978.333319, 1659538978.336303, 2984
70, 1659538978.437809, 1659538978.440836, 3027
71, 1659538978.542340, 1659538978.545581, 3241
72, 1659538978.647067, 1659538978.650018, 2951
73, 1659538978.750847, 1659538978.753502, 2655
74, 1659538978.854965, 1659538978.858350, 3385
75, 1659538978.959826, 1659538978.963290, 3464
76, 1659538979.64852, 1659538979.67976, 3124
77, 1659538979.169446, 1659538979.172796, 3350
78, 1659538979.274121, 1659538979.277163, 3042
79, 1659538979.377752, 1659538979.381304, 3552
80, 1659538979.481706, 1659538979.484719, 3013
81, 1659538979.586219, 1659538979.589102, 2883
82, 1659538979.690662, 1659538979.693697, 3035
83, 1659538979.795152, 1659538979.798577, 3425
84, 1659538979.899619, 1659538979.902403, 2784
85, 1659538980.3169, 1659538980.6562, 3393
86, 1659538980.108076, 1659538980.111372, 3296
87, 1659538980.211726, 1659538980.215391, 3665
88, 1659538980.315671, 1659538980.319256, 3585
89, 1659538980.420024, 1659538980.423128, 3104
90, 1659538980.524292, 1659538980.527008, 2716
91, 1659538980.628508, 1659538980.631996, 3488
92, 1659538980.732280, 1659538980.735708, 3428
93, 1659538980.837220, 1659538980.841214, 3994
94, 1659538980.942754, 1659538980.945772, 3018
95, 1659538981.47246, 1659538981.50398, 3152
96, 1659538981.151860, 1659538981.155388, 3528
97, 1659538981.256192, 1659538981.259258, 3066
98, 1659538981.359411, 1659538981.362947, 3536
99, 1659538981.464434, 1659538981.467783, 3349
100, 1659538981.569291, 1659538981.572991, 3700
101, 1659538981.674542, 1659538981.678208, 3666
102, 1659538981.778915, 1659538981.781694, 2779
103, 1659538981.882320, 1659538981.885389, 3069
104, 1659538981.985695, 1659538981.988741, 3046
105, 1659538982.90265, 1659538982.94019, 3754
106, 1659538982.195485, 1659538982.199080, 3595
107, 1659538982.300399, 1659538982.303869, 3470
108, 1659538982.404177, 1659538982.407390, 3213
109, 1659538982.508142, 1659538982.511942, 3800
110, 1659538982.613449, 1659538982.616316, 2867
111, 1659538982.717824, 1659538982.721177, 3353
112, 1659538982.822683, 1659538982.825879, 3196
113, 1659538982.927342, 1659538982.930586, 3244
114, 1659538983.31871, 1659538983.35341, 3470
115, 1659538983.136839, 1659538983.140116, 3277
116, 1659538983.240431, 1659538983.243911, 3480
117, 1659538983.345367, 1659538983.348440, 3073
118, 1659538983.449944, 1659538983.453637, 3693
119, 1659538983.555099, 1659538983.558036, 2937
120, 1659538983.659194, 1659538983.662178, 2984
121, 1659538983.762928, 1659538983.765838, 2910
122, 1659538983.866204, 1659538983.869067, 2863
123, 1659538983.969219, 1659538983.972237, 3018
124, 1659538984.73870, 1659538984.77701, 3831
125, 1659538984.179177, 1659538984.183024, 3847
126, 1659538984.283985, 1659538984.287087, 3102
127, 1659538984.387310, 1659538984.390477, 3167
128, 1659538984.490742, 1659538984.493958, 3216
129, 1659538984.595425, 1659538984.598654, 3229
130, 1659538984.700111, 1659538984.703590, 3479
131, 1659538984.805120, 1659538984.808539, 3419
132, 1659538984.909809, 1659538984.912954, 3145
133, 1659538985.13606, 1659538985.16483, 2877
134, 1659538985.117995, 1659538985.121221, 3226
135, 1659538985.222747, 1659538985.225798, 3051
136, 1659538985.325942, 1659538985.329345, 3403
137, 1659538985.430761, 1659538985.433900, 3139
138, 1659538985.534934, 1659538985.537915, 2981
139, 1659538985.639323, 1659538985.642359, 3036
140, 1659538985.742520, 1659538985.745786, 3266
141, 1659538985.847270, 1659538985.850705, 3435
142, 1659538985.952081, 1659538985.955451, 3370
143, 1659538986.57002, 1659538986.60232, 3230
144, 1659538986.161739, 1659538986.165300, 3561
145, 1659538986.265882, 1659538986.268793, 2911
146, 1659538986.369175, 1659538986.372480, 3305
147, 1659538986.473994, 1659538986.477146, 3152
148, 1659538986.578706, 1659538986.582399, 3693
149, 1659538986.683823, 1659538986.687111, 3288
150, 1659538986.788205, 1659538986.792201, 3996
151, 1659538986.893100, 1659538986.896080, 2980
152, 1659538986.996212, 1659538986.999719, 3507
153, 1659538987.101231, 1659538987.104162, 2931
154, 1659538987.205660, 1659538987.209007, 3347
155, 1659538987.310507, 1659538987.313916, 3409
156, 1659538987.415320, 1659538987.418254, 2934
157, 1659538987.518846, 1659538987.522059, 3213
158, 1659538987.622359, 1659538987.625168, 2809
159, 1659538987.726718, 1659538987.730116, 3398
160, 1659538987.831595, 1659538987.835268, 3673
161, 1659538987.936768, 1659538987.939801, 3033
162, 1659538988.40866, 1659538988.44529, 3663
163, 1659538988.146028, 1659538988.149059, 3031
164, 1659538988.249252, 1659538988.252767, 3515
165, 1659538988.353619, 1659538988.356818, 3199
166, 1659538988.458306, 1659538988.461551, 3245
167, 1659538988.562234, 1659538988.565323, 3089
168, 1659538988.666738, 1659538988.669673, 2935
169, 1659538988.770224, 1659538988.773629, 3405
170, 1659538988.874088, 1659538988.877293, 3205
171, 1659538988.977552, 1659538988.980673, 3121
172, 1659538989.82230, 1659538989.85561, 3331
173, 1659538989.187053, 1659538989.190333, 3280
174, 1659538989.291325, 1659538989.294335, 3010
175, 1659538989.395269, 1659538989.398076, 2807
176, 1659538989.499502, 1659538989.502355, 2853
177, 1659538989.603794, 1659538989.606516, 2722
178, 1659538989.707953, 1659538989.711464, 3511
179, 1659538989.812831, 1659538989.816396, 3565
180, 1659538989.917795, 1659538989.921043, 3248
181, 1659538990.21576, 1659538990.25008, 3432
182, 1659538990.126500, 1659538990.129729, 3229
183, 1659538990.230540, 1659538990.233336, 2796
184, 1659538990.333610, 1659538990.336859, 3249
185, 1659538990.438356, 1659538990.441556, 3200
186, 1659538990.542505, 1659538990.545342, 2837
187, 1659538990.646777, 1659538990.650307, 3530
188, 1659538990.751753, 1659538990.754882, 3129
189, 1659538990.856377, 1659538990.859305, 2928
190, 1659538990.960814, 1659538990.964215, 3401
191, 1659538991.65693, 1659538991.68815, 3122
192, 1659538991.170341, 1659538991.173236, 2895
193, 1659538991.273760, 1659538991.277100, 3340
194, 1659538991.377661, 1659538991.380985, 3324
195, 1659538991.482478, 1659538991.485646, 3168
196, 1659538991.587068, 1659538991.589845, 2777
197, 1659538991.691321, 1659538991.694928, 3607
198, 1659538991.795917, 1659538991.799048, 3131
199, 1659538991.900135, 1659538991.903673, 3538
200, 1659538992.4401, 1659538992.7706, 3305
