index, start time, end time, latency
0, 1659516133.993961, 1659516133.997439, 3478
1, 1659516134.99755, 1659516134.103492, 3737
2, 1659516134.203821, 1659516134.207548, 3727
3, 1659516134.309506, 1659516134.313070, 3564
4, 1659516134.414308, 1659516134.418221, 3913
5, 1659516134.518473, 1659516134.522057, 3584
6, 1659516134.624368, 1659516134.627231, 2863
7, 1659516134.729597, 1659516134.733187, 3590
8, 1659516134.834872, 1659516134.839097, 4225
9, 1659516134.940893, 1659516134.944555, 3662
10, 1659516135.46104, 1659516135.49546, 3442
11, 1659516135.150592, 1659516135.154266, 3674
12, 1659516135.254946, 1659516135.259014, 4068
13, 1659516135.361350, 1659516135.365119, 3769
14, 1659516135.467154, 1659516135.470903, 3749
15, 1659516135.573004, 1659516135.577044, 4040
16, 1659516135.678716, 1659516135.682446, 3730
17, 1659516135.783589, 1659516135.787073, 3484
18, 1659516135.887768, 1659516135.891134, 3366
19, 1659516135.991409, 1659516135.995329, 3920
20, 1659516136.97639, 1659516136.101013, 3374
21, 1659516136.201330, 1659516136.205101, 3771
22, 1659516136.306708, 1659516136.310149, 3441
23, 1659516136.411004, 1659516136.414673, 3669
24, 1659516136.515337, 1659516136.519310, 3973
25, 1659516136.620795, 1659516136.624167, 3372
26, 1659516136.726503, 1659516136.729834, 3331
27, 1659516136.831967, 1659516136.835417, 3450
28, 1659516136.937168, 1659516136.940543, 3375
29, 1659516137.41766, 1659516137.45600, 3834
30, 1659516137.146484, 1659516137.150897, 4413
31, 1659516137.251198, 1659516137.255208, 4010
32, 1659516137.357543, 1659516137.361187, 3644
33, 1659516137.463473, 1659516137.466751, 3278
34, 1659516137.568448, 1659516137.571557, 3109
35, 1659516137.673842, 1659516137.677991, 4149
36, 1659516137.778518, 1659516137.781906, 3388
37, 1659516137.882452, 1659516137.885570, 3118
38, 1659516137.987952, 1659516137.991153, 3201
39, 1659516138.93421, 1659516138.96618, 3197
40, 1659516138.196877, 1659516138.200139, 3262
41, 1659516138.301491, 1659516138.305080, 3589
42, 1659516138.406145, 1659516138.409185, 3040
43, 1659516138.509592, 1659516138.513019, 3427
44, 1659516138.613168, 1659516138.616623, 3455
45, 1659516138.718989, 1659516138.722360, 3371
46, 1659516138.824142, 1659516138.827421, 3279
47, 1659516138.929007, 1659516138.931921, 2914
48, 1659516139.32748, 1659516139.35614, 2866
49, 1659516139.136132, 1659516139.139411, 3279
50, 1659516139.240317, 1659516139.243195, 2878
51, 1659516139.345383, 1659516139.348551, 3168
52, 1659516139.450084, 1659516139.453405, 3321
53, 1659516139.554624, 1659516139.558037, 3413
54, 1659516139.659230, 1659516139.662107, 2877
55, 1659516139.762468, 1659516139.765599, 3131
56, 1659516139.865749, 1659516139.868979, 3230
57, 1659516139.971309, 1659516139.974416, 3107
58, 1659516140.76108, 1659516140.78960, 2852
59, 1659516140.180693, 1659516140.184479, 3786
60, 1659516140.285241, 1659516140.289143, 3902
61, 1659516140.389569, 1659516140.392952, 3383
62, 1659516140.495328, 1659516140.498764, 3436
63, 1659516140.600223, 1659516140.603674, 3451
64, 1659516140.704743, 1659516140.708409, 3666
65, 1659516140.809669, 1659516140.813192, 3523
66, 1659516140.914429, 1659516140.917558, 3129
67, 1659516141.17882, 1659516141.21045, 3163
68, 1659516141.121193, 1659516141.124661, 3468
69, 1659516141.225763, 1659516141.229559, 3796
70, 1659516141.331206, 1659516141.334424, 3218
71, 1659516141.436158, 1659516141.439046, 2888
72, 1659516141.539708, 1659516141.543316, 3608
73, 1659516141.645615, 1659516141.648663, 3048
74, 1659516141.749128, 1659516141.752501, 3373
75, 1659516141.854603, 1659516141.857843, 3240
76, 1659516141.960050, 1659516141.963467, 3417
77, 1659516142.64696, 1659516142.67695, 2999
78, 1659516142.170060, 1659516142.173203, 3143
79, 1659516142.273511, 1659516142.276671, 3160
80, 1659516142.377119, 1659516142.380249, 3130
81, 1659516142.482563, 1659516142.485785, 3222
82, 1659516142.587455, 1659516142.590867, 3412
83, 1659516142.693188, 1659516142.696407, 3219
84, 1659516142.797143, 1659516142.800676, 3533
85, 1659516142.901641, 1659516142.904695, 3054
86, 1659516143.7050, 1659516143.10021, 2971
87, 1659516143.112203, 1659516143.115209, 3006
88, 1659516143.216079, 1659516143.219244, 3165
89, 1659516143.320448, 1659516143.323561, 3113
90, 1659516143.424638, 1659516143.427547, 2909
91, 1659516143.527797, 1659516143.530641, 2844
92, 1659516143.631234, 1659516143.634437, 3203
93, 1659516143.735981, 1659516143.739471, 3490
94, 1659516143.841020, 1659516143.844562, 3542
95, 1659516143.946494, 1659516143.949342, 2848
96, 1659516144.49940, 1659516144.52813, 2873
97, 1659516144.155156, 1659516144.158222, 3066
98, 1659516144.259493, 1659516144.262950, 3457
99, 1659516144.363505, 1659516144.366175, 2670
100, 1659516144.468307, 1659516144.471623, 3316
101, 1659516144.572699, 1659516144.575936, 3237
102, 1659516144.678363, 1659516144.681535, 3172
103, 1659516144.781676, 1659516144.784947, 3271
104, 1659516144.885557, 1659516144.889092, 3535
105, 1659516144.991415, 1659516144.994972, 3557
106, 1659516145.96495, 1659516145.99782, 3287
107, 1659516145.200197, 1659516145.203652, 3455
108, 1659516145.304249, 1659516145.307649, 3400
109, 1659516145.408838, 1659516145.411987, 3149
110, 1659516145.514330, 1659516145.518083, 3753
111, 1659516145.620123, 1659516145.623165, 3042
112, 1659516145.725503, 1659516145.728888, 3385
113, 1659516145.830020, 1659516145.832981, 2961
114, 1659516145.934650, 1659516145.937343, 2693
115, 1659516146.38551, 1659516146.41843, 3292
116, 1659516146.144184, 1659516146.147391, 3207
117, 1659516146.248761, 1659516146.251940, 3179
118, 1659516146.353431, 1659516146.356602, 3171
119, 1659516146.458828, 1659516146.462009, 3181
120, 1659516146.562610, 1659516146.565889, 3279
121, 1659516146.668300, 1659516146.671658, 3358
122, 1659516146.774017, 1659516146.777522, 3505
123, 1659516146.878016, 1659516146.881299, 3283
124, 1659516146.983603, 1659516146.986984, 3381
125, 1659516147.88089, 1659516147.91333, 3244
126, 1659516147.191512, 1659516147.195073, 3561
127, 1659516147.296440, 1659516147.299784, 3344
128, 1659516147.400266, 1659516147.403453, 3187
129, 1659516147.505851, 1659516147.509357, 3506
130, 1659516147.610923, 1659516147.615375, 4452
131, 1659516147.717673, 1659516147.721179, 3506
