tcp.src_port, timestamp-at-nic,Timestamp-at-mmt-sec,Delay,Delay avg
1,1668688230.759384,1668688230.76809,0.008706,0.0079726
2,1668688230.777193,1668688230.779891,0.002698,
3,1668688230.794872,1668688230.804080,0.009208,
4,1668688230.812772,1668688230.815944,0.003172,
5,1668688230.830654,1668688230.831914,0.00126,
6,1668688230.848575,1668688230.851933,0.003358,
7,1668688230.866191,1668688230.868113,0.001922,
8,1668688230.884462,1668688230.896314,0.011852,
9,1668688230.902231,1668688230.908094,0.005863,
10,1668688230.920383,1668688230.923832,0.003449,
1,1668688232.782643,1668688232.806700,0.024057,
2,1668688232.807012,1668688232.827969,0.020957,
3,1668688232.827579,1668688232.840020,0.012441,
4,1668688232.847867,1668688232.852123,0.004256,
5,1668688232.867706,1668688232.880335,0.012629,
6,1668688232.886811,1668688232.891863,0.005052,
7,1668688232.905332,1668688232.908004,0.002672,
8,1668688232.928259,1668688232.931921,0.003662,
9,1668688232.950564,1668688232.961006,0.010442,
10,1668688232.974377,1668688232.985475,0.011098,
1,1668688234.232634,1668688234.240164,0.00753,
2,1668688234.256066,1668688234.263917,0.007851,
3,1668688234.279081,1668688234.288615,0.009534,
4,1668688234.300409,1668688234.312337,0.011928,
5,1668688234.321009,1668688234.324291,0.003282,
6,1668688234.343808,1668688234.347828,0.00402,
7,1668688234.365441,1668688234.372323,0.006882,
8,1668688234.389167,1668688234.399788,0.010621,
9,1668688234.412393,1668688234.420389,0.007996,
10,1668688234.433777,1668688234.444557,0.01078,
