timestamp, tcp.src_port
1668688230.768086,     1
1668688230.768238,  1234
1668688230.779891,     2
1668688230.791937,  1234
1668688230.804080,     3
1668688230.804138,  1234
1668688230.815944,     4
1668688230.816003,  1234
1668688230.831914,     5
1668688230.839953,  1234
1668688230.851933,     6
1668688230.868023,  1234
1668688230.868113,     7
1668688230.884071,  1234
1668688230.896314,     8
1668688230.896393,  1234
1668688230.908094,     9
1668688230.908138,  1234
1668688230.923832,    10
1668688230.923879,  1234
1668688232.806700,     1
1668688232.806944,  1234
1668688232.827969,     2
1668688232.828067,  1234
1668688232.840020,     3
1668688232.840068,  1234
1668688232.852123,     4
1668688232.852164,  1234
1668688232.880335,     5
1668688232.880381,  1234
1668688232.891863,     6
1668688232.891905,  1234
1668688232.908004,     7
1668688232.920084,  1234
1668688232.931921,     8
1668688232.931959,  1234
1668688232.961006,     9
1668688232.961065,  1234
1668688232.985475,    10
1668688232.985524,  1234
1668688234.240164,     1
1668688234.240222,  1234
1668688234.263917,     2
1668688234.263964,  1234
1668688234.288615,     3
1668688234.288690,  1234
1668688234.312337,     4
1668688234.312375,  1234
1668688234.324291,     5
1668688234.336294,  1234
1668688234.347828,     6
1668688234.347860,  1234
1668688234.372323,     7
1668688234.372375,  1234
1668688234.399788,     8
1668688234.399838,  1234
1668688234.420389,     9
1668688234.420423,  1234
1668688234.444557,    10
1668688234.444606,  1234
