tcp.src_port, timestamp
1,1668688230.759384
1234,1668688230.765534
2,1668688230.777193
1234,1668688230.781384
3,1668688230.794872
1234,1668688230.798310
4,1668688230.812772
1234,1668688230.816090
5,1668688230.830654
1234,1668688230.834001
6,1668688230.848575
1234,1668688230.852514
7,1668688230.866191
1234,1668688230.873225
8,1668688230.884462
1234,1668688230.888358
9,1668688230.902231
1234,1668688230.905219
10,1668688230.920383
1234,1668688230.923696
1,1668688232.782643
1234,1668688232.787600
2,1668688232.807012
1234,1668688232.809872
3,1668688232.827579
1234,1668688232.832413
4,1668688232.847867
1234,1668688232.851497
5,1668688232.867706
1234,1668688232.870553
6,1668688232.886811
1234,1668688232.890277
7,1668688232.905332
1234,1668688232.908559
8,1668688232.928259
1234,1668688232.931089
9,1668688232.950564
1234,1668688232.954277
10,1668688232.974377
1234,1668688232.977718
1,1668688234.232634
1234,1668688234.236522
2,1668688234.256066
1234,1668688234.259393
3,1668688234.279081
1234,1668688234.282288
4,1668688234.300409
1234,1668688234.303533
5,1668688234.321009
1234,1668688234.324780
6,1668688234.343808
1234,1668688234.346900
7,1668688234.365441
1234,1668688234.369135
8,1668688234.389167
1234,1668688234.393214
9,1668688234.412393
1234,1668688234.415605
10,1668688234.433777
1234,1668688234.437582
