index, start time, end time, latency
0, 1659544192.431196, 1659544192.435121, 3925
1, 1659544192.537492, 1659544192.541306, 3814
2, 1659544192.641693, 1659544192.644870, 3177
3, 1659544192.746394, 1659544192.749838, 3444
4, 1659544192.852196, 1659544192.856016, 3820
5, 1659544192.956638, 1659544192.960212, 3574
6, 1659544193.62249, 1659544193.65373, 3124
7, 1659544193.167702, 1659544193.171429, 3727
8, 1659544193.273324, 1659544193.276787, 3463
9, 1659544193.377241, 1659544193.380801, 3560
10, 1659544193.481965, 1659544193.485725, 3760
11, 1659544193.588129, 1659544193.591468, 3339
12, 1659544193.691671, 1659544193.695391, 3720
13, 1659544193.795636, 1659544193.799510, 3874
14, 1659544193.900507, 1659544193.904613, 4106
15, 1659544194.5525, 1659544194.8973, 3448
16, 1659544194.111361, 1659544194.115287, 3926
17, 1659544194.215587, 1659544194.218792, 3205
18, 1659544194.321139, 1659544194.324607, 3468
19, 1659544194.426118, 1659544194.429522, 3404
20, 1659544194.531708, 1659544194.535495, 3787
21, 1659544194.637832, 1659544194.641623, 3791
22, 1659544194.742817, 1659544194.745884, 3067
23, 1659544194.848257, 1659544194.852001, 3744
24, 1659544194.952338, 1659544194.955685, 3347
25, 1659544195.57647, 1659544195.60908, 3261
26, 1659544195.163257, 1659544195.166420, 3163
27, 1659544195.267975, 1659544195.271605, 3630
28, 1659544195.372005, 1659544195.375162, 3157
29, 1659544195.475940, 1659544195.479241, 3301
30, 1659544195.581645, 1659544195.584436, 2791
31, 1659544195.686246, 1659544195.689148, 2902
32, 1659544195.790482, 1659544195.794219, 3737
33, 1659544195.895029, 1659544195.898037, 3008
34, 1659544195.998746, 1659544196.1540, 2794
35, 1659544196.103937, 1659544196.106990, 3053
36, 1659544196.207319, 1659544196.210532, 3213
37, 1659544196.312475, 1659544196.315977, 3502
38, 1659544196.416985, 1659544196.420464, 3479
39, 1659544196.522209, 1659544196.525720, 3511
40, 1659544196.628005, 1659544196.631310, 3305
41, 1659544196.732049, 1659544196.735259, 3210
42, 1659544196.837618, 1659544196.840576, 2958
43, 1659544196.941578, 1659544196.944821, 3243
44, 1659544197.46497, 1659544197.49829, 3332
45, 1659544197.152143, 1659544197.160929, 8786
46, 1659544197.262341, 1659544197.265523, 3182
47, 1659544197.365755, 1659544197.368838, 3083
48, 1659544197.469238, 1659544197.472264, 3026
49, 1659544197.574615, 1659544197.577753, 3138
50, 1659544197.680105, 1659544197.683364, 3259
51, 1659544197.784642, 1659544197.787524, 2882
52, 1659544197.888254, 1659544197.891328, 3074
53, 1659544197.991785, 1659544197.994842, 3057
54, 1659544198.97217, 1659544198.100732, 3515
55, 1659544198.203129, 1659544198.207080, 3951
56, 1659544198.308286, 1659544198.311842, 3556
57, 1659544198.413094, 1659544198.416521, 3427
58, 1659544198.518050, 1659544198.521765, 3715
59, 1659544198.624164, 1659544198.627582, 3418
60, 1659544198.728092, 1659544198.731220, 3128
61, 1659544198.833587, 1659544198.836641, 3054
62, 1659544198.938363, 1659544198.941319, 2956
63, 1659544199.42966, 1659544199.46993, 4027
64, 1659544199.149354, 1659544199.153123, 3769
65, 1659544199.254159, 1659544199.257657, 3498
66, 1659544199.359986, 1659544199.363282, 3296
67, 1659544199.465309, 1659544199.469029, 3720
68, 1659544199.571470, 1659544199.574564, 3094
69, 1659544199.676130, 1659544199.679119, 2989
70, 1659544199.780275, 1659544199.783373, 3098
71, 1659544199.884015, 1659544199.886655, 2640
72, 1659544199.987004, 1659544199.989983, 2979
73, 1659544200.92345, 1659544200.95293, 2948
74, 1659544200.197659, 1659544200.200782, 3123
75, 1659544200.302754, 1659544200.306320, 3566
76, 1659544200.407146, 1659544200.410360, 3214
77, 1659544200.511441, 1659544200.515157, 3716
78, 1659544200.617553, 1659544200.620956, 3403
79, 1659544200.723393, 1659544200.726338, 2945
80, 1659544200.828708, 1659544200.832440, 3732
81, 1659544200.934102, 1659544200.936862, 2760
82, 1659544201.38341, 1659544201.41497, 3156
83, 1659544201.143860, 1659544201.147235, 3375
84, 1659544201.247887, 1659544201.251013, 3126
85, 1659544201.353351, 1659544201.356861, 3510
86, 1659544201.459088, 1659544201.462251, 3163
87, 1659544201.562578, 1659544201.565768, 3190
88, 1659544201.668050, 1659544201.671145, 3095
89, 1659544201.772110, 1659544201.774975, 2865
90, 1659544201.875402, 1659544201.878675, 3273
91, 1659544201.978807, 1659544201.981933, 3126
92, 1659544202.84247, 1659544202.87362, 3115
93, 1659544202.189736, 1659544202.193317, 3581
94, 1659544202.294878, 1659544202.298531, 3653
95, 1659544202.399542, 1659544202.403458, 3916
96, 1659544202.504130, 1659544202.507236, 3106
97, 1659544202.609533, 1659544202.612899, 3366
98, 1659544202.715266, 1659544202.718533, 3267
99, 1659544202.820665, 1659544202.823738, 3073
100, 1659544202.925292, 1659544202.928687, 3395
101, 1659544203.29870, 1659544203.33064, 3194
102, 1659544203.135367, 1659544203.138675, 3308
103, 1659544203.238963, 1659544203.242651, 3688
104, 1659544203.345012, 1659544203.348264, 3252
105, 1659544203.449942, 1659544203.452836, 2894
106, 1659544203.554525, 1659544203.558443, 3918
107, 1659544203.659721, 1659544203.662864, 3143
108, 1659544203.763638, 1659544203.767126, 3488
109, 1659544203.867381, 1659544203.870743, 3362
110, 1659544203.973127, 1659544203.977003, 3876
111, 1659544204.79145, 1659544204.82471, 3326
112, 1659544204.184807, 1659544204.188336, 3529
113, 1659544204.289616, 1659544204.292972, 3356
114, 1659544204.393448, 1659544204.396602, 3154
115, 1659544204.496929, 1659544204.500259, 3330
116, 1659544204.602606, 1659544204.605572, 2966
117, 1659544204.707930, 1659544204.711259, 3329
118, 1659544204.812973, 1659544204.816876, 3903
119, 1659544204.918239, 1659544204.921199, 2960
120, 1659544205.22048, 1659544205.25405, 3357
121, 1659544205.127715, 1659544205.131587, 3872
122, 1659544205.233942, 1659544205.237512, 3570
123, 1659544205.339792, 1659544205.343297, 3505
124, 1659544205.445239, 1659544205.448640, 3401
125, 1659544205.550142, 1659544205.553732, 3590
126, 1659544205.656109, 1659544205.659902, 3793
127, 1659544205.760420, 1659544205.764021, 3601
128, 1659544205.864207, 1659544205.867551, 3344
129, 1659544205.969883, 1659544205.972946, 3063
130, 1659544206.74815, 1659544206.77882, 3067
131, 1659544206.180308, 1659544206.184486, 4178
132, 1659544206.285474, 1659544206.289146, 3672
133, 1659544206.389850, 1659544206.393429, 3579
134, 1659544206.494544, 1659544206.498207, 3663
135, 1659544206.600585, 1659544206.603605, 3020
136, 1659544206.705975, 1659544206.709197, 3222
137, 1659544206.810736, 1659544206.813749, 3013
138, 1659544206.913886, 1659544206.917227, 3341
139, 1659544207.17830, 1659544207.21013, 3183
140, 1659544207.123357, 1659544207.126997, 3640
141, 1659544207.227652, 1659544207.231139, 3487
142, 1659544207.333153, 1659544207.336587, 3434
143, 1659544207.437949, 1659544207.440895, 2946
144, 1659544207.542071, 1659544207.545181, 3110
145, 1659544207.646032, 1659544207.649774, 3742
146, 1659544207.749914, 1659544207.753081, 3167
147, 1659544207.854040, 1659544207.856809, 2769
148, 1659544207.958372, 1659544207.961429, 3057
149, 1659544208.62927, 1659544208.66101, 3174
150, 1659544208.167571, 1659544208.171097, 3526
151, 1659544208.271765, 1659544208.275536, 3771
152, 1659544208.375998, 1659544208.378918, 2920
153, 1659544208.480452, 1659544208.483504, 3052
154, 1659544208.585024, 1659544208.588331, 3307
155, 1659544208.689911, 1659544208.693307, 3396
156, 1659544208.794298, 1659544208.797594, 3296
157, 1659544208.898576, 1659544208.901959, 3383
158, 1659544209.2530, 1659544209.5942, 3412
159, 1659544209.107474, 1659544209.111309, 3835
160, 1659544209.215089, 1659544209.219149, 4060
161, 1659544209.320659, 1659544209.323206, 2547
