index, start time, end time, latency
0, 1659518224.934946, 1659518224.938056, 3110
1, 1659518225.40372, 1659518225.43638, 3266
2, 1659518225.143953, 1659518225.146688, 2735
3, 1659518225.247794, 1659518225.251327, 3533
4, 1659518225.353658, 1659518225.356940, 3282
5, 1659518225.458071, 1659518225.461538, 3467
6, 1659518225.562847, 1659518225.566066, 3219
7, 1659518225.666828, 1659518225.669982, 3154
8, 1659518225.770919, 1659518225.774371, 3452
9, 1659518225.874799, 1659518225.878203, 3404
10, 1659518225.980283, 1659518225.983582, 3299
11, 1659518226.85923, 1659518226.89371, 3448
12, 1659518226.190607, 1659518226.193470, 2863
13, 1659518226.294247, 1659518226.296951, 2704
14, 1659518226.397198, 1659518226.400057, 2859
15, 1659518226.502145, 1659518226.505191, 3046
16, 1659518226.607616, 1659518226.610879, 3263
17, 1659518226.712523, 1659518226.715930, 3407
18, 1659518226.818264, 1659518226.821356, 3092
19, 1659518226.922078, 1659518226.925524, 3446
20, 1659518227.27915, 1659518227.31218, 3303
21, 1659518227.133535, 1659518227.136395, 2860
22, 1659518227.237199, 1659518227.240906, 3707
23, 1659518227.343272, 1659518227.346462, 3190
24, 1659518227.447414, 1659518227.450506, 3092
25, 1659518227.552859, 1659518227.556074, 3215
26, 1659518227.656434, 1659518227.659746, 3312
27, 1659518227.760406, 1659518227.763672, 3266
28, 1659518227.863919, 1659518227.867263, 3344
29, 1659518227.968933, 1659518227.972151, 3218
30, 1659518228.74469, 1659518228.77828, 3359
31, 1659518228.178620, 1659518228.181717, 3097
32, 1659518228.284078, 1659518228.287566, 3488
33, 1659518228.387951, 1659518228.390992, 3041
34, 1659518228.492857, 1659518228.496667, 3810
35, 1659518228.599076, 1659518228.602737, 3661
36, 1659518228.704096, 1659518228.707527, 3431
37, 1659518228.809584, 1659518228.812928, 3344
38, 1659518228.913351, 1659518228.916932, 3581
39, 1659518229.19303, 1659518229.23020, 3717
40, 1659518229.125374, 1659518229.128852, 3478
41, 1659518229.229596, 1659518229.233255, 3659
42, 1659518229.335578, 1659518229.338851, 3273
